2018-10-10 11:11:43 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-10-10 11:11:43 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2018-10-10 11:11:43 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2018-10-10 11:11:43 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2018-10-10 11:11:43 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8086 (http) with context path '/friendmgt'
2018-10-10 11:11:43 [main] INFO  com.capgemini.SpsDemoApplication - Started SpsDemoApplication in 2.922 seconds (JVM running for 3.922)
2018-10-10 11:11:58 [http-nio-8086-exec-1] INFO  o.a.c.c.C.[.[localhost].[/friendmgt] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-10-10 11:11:58 [http-nio-8086-exec-1] INFO  c.c.c.FriendManagementController - ====logger test 1234=======
2018-10-10 11:12:11 [http-nio-8086-exec-7] INFO  c.c.c.FriendManagementController - ====logger test 1234=======
2018-10-10 11:12:36 [http-nio-8086-exec-6] INFO  c.c.c.FriendManagementController - ====logger test 1234=======
2018-10-10 11:12:53 [http-nio-8086-exec-4] INFO  c.c.c.FriendManagementController - ====logger test 1234=======
2018-10-10 11:13:32 [http-nio-8086-exec-8] INFO  c.c.c.FriendManagementController - ====logger test 1234=======
2018-10-10 11:13:49 [http-nio-8086-exec-5] INFO  c.c.c.FriendManagementController - ====logger test 1234=======
2018-10-10 11:40:08 [RMI TCP Connection(37)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
